Year,Amount,Neighborhood,LAT,LON,Crime Score,Label
2010,"1,196",Tujunga,34.244254999999995,-118.296428,6.309799999999999,L116
2010,"1,239",Downey,33.949951,-118.1052355,0.0,L117
2010,"2,000",Beverlywood,34.0419315,-118.3933555,37.91199999999999,L118
2010,"1,079",West Puente Valley,34.0590435,-117.968603,0.0,L119
2010,"1,067",East Hollywood,34.07989,-118.3068095,374.95720000000006,L120
2010,950,North Hills,34.228481,-118.479066,75.8896,L121
2010,"1,194",Sherman Oaks,34.160867,-118.4590905,101.4459,L122
2010,729,Huntington Park,33.985033,-118.194854,0.0,L123
2010,"2,000",Walnut,34.038589,-117.874477,0.0,L124
2010,805,Cypress Park,34.0883995,-118.2247575,202.0174,L125
2010,"1,000",Duarte,34.126938,-117.978573,0.0,L126
2010,"1,210",Palms,34.020876,-118.4064875,180.8693,L127
2010,933,Hollywood,34.088927000000005,-118.327716,282.0469,L128
2010,844,West Adams,34.032760499999995,-118.335031,362.7547000000001,L129
2010,865,Boyle Heights,34.04985,-118.2009955,385.88640000000015,L130
2010,966,Lennox,33.940659000000004,-118.363495,0.0,L131
2010,888,Cerritos,33.8767845,-118.055207,0.0,L132
2010,760,East Los Angeles,34.038762,-118.165861,0.0,L133
2010,967,Arlington Heights,34.0508045,-118.3133105,299.83579999999995,L134
2010,878,Compton,33.899639,-118.226136,0.0,L135
2010,"1,256",Tarzana,34.185206,-118.5447525,103.2147,L136
2010,711,Adams-Normandie,34.034856,-118.3046185,383.5896000000001,L137
2010,"1,049",El Monte,34.0855885,-118.02756399999998,0.0,L138
2010,817,Westlake,34.056368,-118.2879195,647.8713000000002,L139
2010,"1,058",Monterey Park,34.058869,-118.122138,0.0,L140
2010,"1,096",Burbank,34.1749995,-118.3232165,0.0,L141
2010,"1,484",Sawtelle,34.047607,-118.4565715,215.0383,L142
2010,"1,732",Baldwin Park,34.0866635,-117.97917549999998,0.0,L143
2010,"1,248",Pico Rivera,33.973095,-118.0895215,0.0,L144
2010,"1,211",South Whittier,33.921282500000004,-118.041571,0.0,L145
2010,"2,000",Sunland,34.274431,-118.30714,25.814799999999995,L146
2010,"1,730",Carson,33.853193,-118.273818,0.0,L147
2010,"1,682",San Dimas,34.113741999999995,-117.8332835,0.0,L148
2010,"1,063",Bellflower,33.873679,-118.1382425,0.0,L149
2010,"1,136",Monterey Park,34.06617,-118.1198595,0.0932,L150
2010,"1,084",Compton,33.911067,-118.243046,0.0,L151
2010,975,Bell Gardens,33.9705995,-118.161146,0.0,L152
2010,962,Glassell Park,34.1130175,-118.228915,52.27070000000001,L153
2010,"1,079",Glassell Park,34.1220355,-118.2414825,130.80209999999994,L154
2010,888,Sylmar,34.293406,-118.4556035,64.88090000000001,L155
2010,979,South Gate,33.9409795,-118.2135415,0.0,L156
2010,"1,943",Walnut,34.017293,-117.856107,0.0,L157
2010,"1,417",Norwalk,33.8913085,-118.0776385,0.0,L158
2010,796,El Monte,34.077308,-118.0459705,0.0,L159
2010,697,Boyle Heights,34.0290235,-118.2229675,111.1756,L160
2010,"1,351",Redondo Beach,33.869829,-118.362536,0.0,L161
2010,961,Westlake,34.0682985,-118.265581,448.8413000000001,L162
2010,931,Panorama City,34.2149315,-118.451986,236.9561,L163
2010,"1,291",Downey,33.93758,-118.112064,0.0,L164
2010,943,Long Beach,33.7934865,-118.19154650000002,0.0282,L165
2010,975,El Sereno,34.0872435,-118.16637450000002,81.66249999999997,L166
2010,"1,087",Citrus,34.11051,-117.9033385,0.0,L167
2010,"1,017",Athens,33.920228,-118.3002815,0.0,L168
2010,"1,082",Green Meadows,33.954224,-118.263804,502.3682,L169
2010,944,South Park,34.003674,-118.260853,731.3118,L170
2010,"1,270",Sierra Madre,34.161851,-118.0532625,0.0,L171
2010,885,Long Beach,33.7934875,-118.185022,0.0,L172
2010,"1,008",Silver Lake,34.0790005,-118.2729125,190.41630000000004,L173
2010,"1,088",South San Jose Hills,34.019139,-117.9167095,0.0,L174
2010,"1,610",Broadway-Manchester,33.925504,-118.275396,224.4759,L175
2010,"1,021",South El Monte,34.0572675,-118.0534915,0.0,L176
2010,"1,381",Rowland Heights,33.981461,-117.8780945,0.0,L177
2010,802,Historic South-Central,34.0223275,-118.2717135,402.91040000000015,L178
2010,927,Long Beach,33.7716165,-118.1698205,0.0226,L179
2010,991,Hawthorne,33.9130825,-118.3481235,0.0,L180
2010,"1,450",Norwalk,33.8944915,-118.104017,0.0,L181
2010,"1,557",Altadena,34.1949925,-118.157667,0.0,L182
2010,"1,049",Leimert Park,34.007159,-118.3293635,419.4834,L183
2010,"1,837",Venice,33.97183937,-118.4601234,65.14179999999999,L184
2010,"1,094",South Gate,33.9601865,-118.2041425,0.0,L185
2010,"1,192",Harbor City,33.810221500000004,-118.303639,50.2519,L186
2010,"1,356",San Dimas,34.105034499999995,-117.7997755,0.0,L187
2010,"1,075",Inglewood,33.9654475,-118.3221555,21.966899999999995,L188
2010,"1,313",Toluca Lake,34.1478525,-118.3563095,50.8933,L189
2010,"1,746",Hermosa Beach,33.8701875,-118.3941825,0.0,L190
2010,858,Chinatown,34.0642795,-118.2398345,199.2919,L191
2010,"1,250",Pasadena,34.1727525,-118.124329,0.0,L192
2010,972,Sun Valley,34.225737,-118.3655,150.78969999999995,L193
2010,"1,365",South Whittier,33.931968,-118.000853,0.0,L194
2010,"1,765",Industry,34.0264515,-117.931011,0.0,L195
2010,"1,993",Westchester,33.9712845,-118.4009375,35.8824,L196
2010,"1,195",Pico Rivera,34.014082,-118.074022,0.2061,L197
2010,904,Harvard Heights,34.04359,-118.3026265,332.6183000000001,L198
2010,"1,665",Brentwood,34.0753195,-118.477468,5.0421999999999985,L199
2010,947,North Hollywood,34.193936,-118.39433,304.7895000000001,L200
2010,848,Claremont,34.086741499999995,-117.7119895,0.0,L201
2010,"1,097",Hollywood Hills,34.1127975,-118.330591,40.5664,L202
2010,"2,000",West Covina,34.057421500000004,-117.8990455,0.0,L203
2010,"1,177",Downey,33.9172545,-118.14736200000002,0.0,L204
2010,"1,193",Mar Vista,34.0038595,-118.44227250000002,94.49909999999998,L205
2010,"1,024",Valley Glen,34.1794765,-118.42688,97.74639999999998,L206
2010,965,Lakewood,33.850709,-118.1594625,0.0,L207
2010,"1,536",Glendale,34.161446999999995,-118.2600185,0.0,L208
2010,"1,844",Hermosa Beach,33.85822473,-118.39661,2.4561,L209
2010,879,Long Beach,33.778975,-118.178504,2.106,L210
2010,"1,009",Hacienda Heights,34.018007,-117.9819095,0.0,L211
2010,"2,000",Pomona,34.037353499999995,-117.7844315,0.0,L212
2010,"1,053",Bellflower,33.8855435,-118.1212725,0.0,L213
2010,"1,556",Sylmar,34.306005,-118.441288,192.8344,L214
2010,"1,125",East San Gabriel,34.118664,-118.074084,0.0,L215
2010,863,Florence-Firestone,33.980225,-118.2455,0.0,L216
2010,860,Gramercy Park,33.956361,-118.309005,474.2867,L217
2010,982,Rosemead,34.064429,-118.09889950000002,0.0,L218
2010,911,Central-Alameda,34.006583500000005,-118.2519225,829.6029000000003,L219
2010,"1,417",Lawndale,33.8765055,-118.3568285,0.0,L220
2010,"1,639",Brentwood,34.0503875,-118.464617,236.9589,L221
2010,930,Los Feliz,34.103557,-118.307149,332.7888000000001,L222
2010,813,Pacoima,34.2670615,-118.433071,160.22699999999998,L223
2010,969,San Pedro,33.739883,-118.292314,587.7329000000002,L224
2010,"1,151",Mid-City,34.039747,-118.3704125,136.8712,L225
2010,"1,120",Burbank,34.173525,-118.342414,0.0,L226
2010,908,Winnetka,34.204629,-118.579151,239.6898,L227
2010,"1,050",Cudahy,33.9583695,-118.1756955,0.0,L228
2010,"1,010",Gardena,33.8932645,-118.313471,0.0,L229
2010,"1,397",Long Beach,33.769184499999994,-118.113192,0.0,L230
2010,967,South Gate,33.9442965,-118.1784495,0.0,L231
2010,970,South Gate,33.946285499999995,-118.194686,0.0,L232
2010,"1,152",Pasadena,34.1537915,-118.149329,0.0,L233
2010,964,Bell,33.97456,-118.17528,0.0,L234
2010,"1,334",Pasadena,34.126583000000004,-118.1390375,0.0,L235
2010,"2,000",West Hills,34.1943875,-118.6552165,22.8702,L236
